ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
793,7559,1,0,1080,450,1,0,0,2,0,3,0,630,0,0,0
273,2500,1,0,1080,708,1,0,0,2,0,1,0,372,0,0,0
1547,14514,1,0,1080,1078,1,0,0,2,0,0,0,0,2,0,0
1796,16556,1,0,1080,822,1,0,0,1,1,2,0,164,94,0,0
1374,13039,1,0,1080,939,1,0,0,2,0,2,40,74,0,27,0
1888,17549,1,0,1080,678,1,0,0,1,1,0,0,345,44,0,13
1625,15102,1,0,1080,961,1,0,0,1,1,0,0,0,119,0,0
1098,10737,1,0,1080,490,0,1,0,2,0,0,0,590,0,0,0
1858,17305,1,0,1080,295,0,0,1,2,0,1,0,785,0,0,0
1697,15646,1,0,1080,1076,1,0,0,2,0,0,0,0,4,0,0
587,5565,1,0,1080,1045,1,0,0,1,1,0,0,0,35,0,0
116,933,1,0,1080,604,1,0,0,2,0,2,0,476,0,0,0
109,901,1,0,1080,1017,1,0,0,2,0,0,0,0,0,0,63
94,812,1,0,1080,1079,1,0,0,1,1,0,0,0,0,1,0
1051,10264,1,0,1080,1078,1,0,0,1,1,0,0,0,2,0,0
1972,18277,1,0,1080,773,0,0,1,2,0,2,0,296,0,0,11
24,217,1,0,1080,682,0,0,1,2,0,0,36,362,0,0,0
1180,11391,1,0,1080,895,1,0,0,1,1,0,0,0,185,0,0
481,4758,1,0,1080,665,0,0,1,2,0,2,0,415,0,0,0
950,9240,1,0,1080,1079,0,1,0,2,0,4,1,0,0,0,0
170,1473,1,0,1080,1043,0,1,0,2,0,0,0,6,0,0,31
1579,14780,1,0,1080,1079,0,1,0,2,0,0,1,0,0,0,0
1917,17771,1,0,1080,677,1,0,0,1,1,0,0,0,403,0,0
1380,13086,1,0,1080,774,0,0,1,1,1,0,0,0,306,0,0
1350,12836,1,0,1080,699,0,1,0,2,0,1,0,0,381,0,0
1614,15038,1,0,1080,782,0,1,0,2,0,3,0,298,0,0,0
1618,15060,1,0,1080,119,0,0,1,2,0,2,0,961,0,0,0
943,9197,1,0,1080,896,1,0,0,2,0,1,0,184,0,0,0
1057,10331,1,0,1080,1077,0,1,0,1,1,0,0,0,3,0,0
1583,14789,1,0,1080,1079,1,0,0,2,0,0,0,0,1,0,0
1170,11310,1,0,1080,841,0,1,0,2,0,0,18,0,221,0,0
1675,15447,1,0,1080,1078,0,1,0,2,0,0,0,0,0,0,2
1992,18419,1,0,1080,714,0,0,1,2,0,0,6,360,0,0,0
1206,11585,1,0,1080,926,0,1,0,1,1,0,0,154,0,0,0
1831,16961,1,0,1080,1075,0,1,0,1,1,0,5,0,0,0,0
1087,10676,1,0,1080,1076,0,1,0,1,1,0,0,0,0,4,0
1476,13977,1,0,1080,414,0,0,1,2,0,0,0,150,516,0,0
1976,18294,1,0,1080,536,0,0,1,2,0,2,0,544,0,0,0
207,1763,1,0,1080,1075,1,0,0,1,1,0,0,0,0,0,5
729,7007,1,0,1080,966,0,1,0,2,0,0,0,58,56,0,0
1435,13632,1,0,1080,1074,0,1,0,2,0,1,0,0,0,0,6
1651,15303,1,0,1080,968,1,0,0,1,1,0,0,0,112,0,0
574,5479,1,0,1080,1076,1,0,0,1,1,3,4,0,0,0,0
1362,12945,1,0,1080,948,0,1,0,1,1,1,0,17,115,0,0
474,4668,1,0,1080,949,1,0,0,2,0,0,63,68,0,0,0
1330,12704,1,0,1080,878,0,1,0,2,0,2,2,78,0,122,0
937,9101,1,0,1080,679,1,0,0,2,0,0,0,0,401,0,0
1986,18371,1,0,1080,823,1,0,0,2,0,0,36,221,0,0,0
1681,15537,1,0,1080,690,0,1,0,2,0,2,0,390,0,0,0
1935,17958,1,0,1080,1078,1,0,0,2,0,2,0,0,0,2,0
