ID,PERID,uno,sero,tot,alt_out,Lin,Min,Hin,gend,gend1,nchlt11,Esc,Ho,Soc,AR,Eo
1466,13893,1,0,1080,990,1,0,0,1,1,0,0,90,0,0,0
1031,10068,1,0,1080,1077,0,0,1,1,1,0,0,3,0,0,0
1565,14695,1,0,1080,1039,1,0,0,1,1,0,0,0,0,0,41
752,7217,1,0,1080,747,0,1,0,2,0,1,0,333,0,0,0
1903,17677,1,0,1080,904,0,0,1,2,0,0,0,0,176,0,0
836,7972,1,0,1080,745,1,0,0,2,0,1,0,335,0,0,0
863,8272,1,0,1080,1075,0,1,0,1,1,0,0,0,0,0,5
1432,13617,1,0,1080,818,0,1,0,1,1,0,0,67,195,0,0
1849,17151,1,0,1080,994,0,0,1,2,0,0,0,86,0,0,0
108,900,1,0,1080,424,1,0,0,2,0,0,0,656,0,0,0
431,4212,1,0,1080,1077,1,0,0,1,1,0,0,3,0,0,0
541,5321,1,0,1080,893,0,1,0,2,0,0,0,187,0,0,0
121,1016,1,0,1080,852,0,1,0,2,0,0,0,228,0,0,0
95,816,1,0,1080,1075,1,0,0,2,0,4,0,0,0,5,0
581,5512,1,0,1080,1075,1,0,0,1,1,0,0,0,0,0,5
38,325,1,0,1080,677,0,1,0,1,1,3,0,403,0,0,0
673,6522,1,0,1080,557,0,1,0,2,0,1,0,523,0,0,0
665,6431,1,0,1080,1075,0,1,0,1,1,0,0,0,5,0,0
93,809,1,0,1080,454,0,1,0,2,0,0,0,626,0,0,0
991,9715,1,0,1080,1078,0,0,1,2,0,0,2,0,0,0,0
76,727,1,0,1080,485,1,0,0,1,1,0,0,0,585,10,0
948,9222,1,0,1080,409,0,1,0,2,0,0,0,671,0,0,0
1660,15353,1,0,1080,704,1,0,0,1,1,0,0,0,349,8,19
963,9435,1,0,1080,969,1,0,0,2,0,0,0,111,0,0,0
514,4983,1,0,1080,957,1,0,0,2,0,0,0,107,0,0,16
1106,10850,1,0,1080,801,1,0,0,2,0,0,0,279,0,0,0
579,5502,1,0,1080,1075,1,0,0,2,0,1,0,0,5,0,0
683,6599,1,0,1080,759,1,0,0,2,0,2,0,321,0,0,0
725,6986,1,0,1080,1053,1,0,0,1,1,0,0,0,0,27,0
534,5230,1,0,1080,1045,1,0,0,1,1,0,0,0,16,0,19
717,6873,1,0,1080,983,0,1,0,2,0,2,83,14,0,0,0
406,3961,1,0,1080,904,0,0,1,1,1,0,0,148,0,28,0
210,1808,1,0,1080,1034,0,1,0,2,0,1,15,31,0,0,0
