ID,uno,sero,rural,urban,b51q11,Accomod,FandB,Transp,Shp,Recr,fr_fem,hinc20k,stlt3,st410,stgt10,bud
2762,1,0,1,0,2,0,300,80,700,0,0.333333333,0,1,0,0,100000
7980,1,0,0,1,5,0,0,1750,0,0,0,0,0,1,0,100000
9395,1,0,0,1,18,8300,1000,410,1700,0,0,0,0,0,1,100000
715,1,0,1,0,10,400,100,3600,2200,0,0.4,0,0,1,0,100000
5554,1,0,0,1,4,2000,300,1200,900,0,0.25,0,0,1,0,100000
9904,1,0,0,1,3,0,300,4840,200,100,0.5,0,1,0,0,100000
8238,1,0,0,1,3,1000,700,300,1000,0,0,0,1,0,0,100000
5506,1,0,0,1,2,5600,2100,700,1000,2200,0,1,1,0,0,100000
12296,1,0,0,1,2,0,400,175,200,0,0.4,0,1,0,0,100000
7040,1,0,0,1,8,0,200,9000,1000,0,0,0,0,1,0,100000
4994,1,0,0,1,24,22200,1300,1830,2900,0,0,0,0,0,1,100000
7585,1,0,0,1,10,0,100,932,300,0,1,0,0,1,0,100000
5547,1,0,0,1,1,2400,1000,1000,2300,0,1,0,1,0,0,100000
9459,1,0,0,1,5,600,700,220,2900,0,0,1,0,1,0,100000
12475,1,0,0,1,2,1100,100,850,1800,0,0.5,0,1,0,0,100000
2434,1,0,1,0,2,0,600,460,900,0,0.333333333,0,1,0,0,100000
11657,1,0,0,1,15,0,400,16000,100,0,0.5,1,0,0,1,100000
2015,1,0,1,0,10,0,800,1600,1400,0,0.333333333,0,0,1,0,100000
11519,1,0,0,1,30,0,600,1500,0,0,0.5,1,0,0,1,100000
10819,1,0,0,1,3,0,100,1200,500,0,0.5,0,1,0,0,100000
8659,1,0,0,1,9,0,1000,7460,0,0,0.5,1,0,1,0,100000
15682,1,0,0,1,2,0,100,1000,400,0,0,0,1,0,0,100000
312,1,0,1,0,10,0,0,3205,100,0,0.5,0,0,1,0,100000
14915,1,0,1,0,7,0,200,1000,200,0,0,0,0,1,0,100000
14595,1,0,1,0,2,0,1000,50,2100,0,0,0,1,0,0,100000
3223,1,0,1,0,3,300,2700,4000,3500,300,0.666666667,0,1,0,0,100000
2418,1,0,1,0,2,0,0,800,300,0,0.333333333,0,1,0,0,100000
8904,1,0,0,1,2,400,500,60,600,0,0.333333333,0,1,0,0,100000
9829,1,0,0,1,2,9200,1500,100,1300,0,0,0,1,0,0,100000
14045,1,0,0,1,3,2100,1900,1800,8100,0,0.25,1,1,0,0,100000
4019,1,0,1,0,2,100,1000,300,1600,0,0.666666667,0,1,0,0,100000
8443,1,0,0,1,21,0,1600,27600,6300,0,0.5,0,0,0,1,100000
13885,1,0,0,1,3,0,1900,3790,2200,400,0.25,0,1,0,0,100000
6803,1,0,0,1,3,900,200,580,100,0,0.666666667,0,1,0,0,100000
9841,1,0,0,1,7,0,100,140,0,0,0.333333333,0,0,1,0,100000
4305,1,0,1,0,3,600,2300,1100,1400,0,1,0,1,0,0,100000
9807,1,0,0,1,1,0,500,308,4800,0,0.25,0,1,0,0,100000
1620,1,0,1,0,6,0,300,78,400,0,0,0,0,1,0,100000
11718,1,0,0,1,5,3000,3000,43400,2500,600,0.5,1,0,1,0,100000
3940,1,0,1,0,9,0,1900,1200,1100,300,0,0,0,1,0,100000
6524,1,0,0,1,10,0,400,2000,100,0,0,0,0,1,0,100000
10604,1,0,0,1,7,0,200,1350,600,0,0.4,0,0,1,0,100000
1348,1,0,1,0,3,400,400,840,300,0,0,0,1,0,0,100000
2773,1,0,1,0,4,0,0,840,200,0,0.4,0,0,1,0,100000
2304,1,0,1,0,6,14800,600,9711,3800,0,0,1,0,1,0,100000
14149,1,0,0,1,2,0,500,1540,800,0,0.666666667,0,1,0,0,100000
7488,1,0,0,1,15,0,0,68,0,0,0.5,0,0,0,1,100000
8495,1,0,0,1,14,500,1200,46000,2000,0,0.666666667,0,0,0,1,100000
3314,1,0,1,0,3,0,200,920,400,0,0,0,1,0,0,100000
13192,1,0,0,1,5,2400,1900,4700,3500,200,0,0,0,1,0,100000
182,1,0,1,0,2,0,0,225,600,0,0,0,1,0,0,100000
5991,1,0,0,1,7,0,1300,3200,0,0,0.5,1,0,1,0,100000
8895,1,0,0,1,4,0,1600,60,0,0,0.333333333,0,0,1,0,100000
9771,1,0,0,1,2,300,700,2660,1500,0,0.5,0,1,0,0,100000
5755,1,0,0,1,2,100,0,650,300,0,0.666666667,0,1,0,0,100000
11590,1,0,0,1,5,3900,1600,700,5000,800,0,0,0,1,0,100000
11446,1,0,0,1,1,0,300,2150,800,0,0,0,1,0,0,100000
15736,1,0,0,1,4,200,5000,3500,0,0,0,0,0,1,0,100000
14313,1,0,0,1,4,0,100,3000,500,0,0.333333333,0,0,1,0,100000
9269,1,0,0,1,5,700,1200,4050,2400,400,0.2,0,0,1,0,100000
10994,1,0,0,1,3,100,200,4000,100,0,0.25,1,1,0,0,100000
11082,1,0,0,1,1,0,2200,1100,700,400,1,1,1,0,0,100000
14151,1,0,0,1,3,0,100,90,500,0,0.666666667,0,1,0,0,100000
7055,1,0,0,1,6,1200,800,505,0,0,0,1,0,1,0,100000
12130,1,0,0,1,25,0,400,1580,0,0,0.333333333,0,0,0,1,100000
4420,1,0,1,0,35,0,2100,60,15800,200,1,0,0,0,1,100000
3386,1,0,1,0,8,13300,500,1560,400,0,0,0,0,1,0,100000
4041,1,0,1,0,2,700,2100,1500,1200,0,0,0,1,0,0,100000
8652,1,0,0,1,2,400,1300,200,400,0,0.333333333,0,1,0,0,100000
12454,1,0,0,1,3,0,900,1430,800,0,0.333333333,0,1,0,0,100000
12204,1,0,0,1,12,5500,1400,6300,2800,0,0,0,0,0,1,100000
559,1,0,1,0,2,200,800,300,4200,0,0.25,0,1,0,0,100000
15706,1,0,0,1,2,400,400,2200,400,0,0,1,1,0,0,100000
6666,1,0,0,1,8,0,100,1200,0,0,0,0,0,1,0,100000
